ELSI Export,,,,,,,,,,,
,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,
,,,,,,,,,,,
This is a Public School based table with the following filters applied: State(s) (All Years): OHIO,,,,,,,,,,,
,,,,,,,,,,,
School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2018-19,County Name [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
BOULEVARD ELEMENTARY SCHOOL,Ohio,Cleveland Heights-University Heights City,Cuyahoga County,44118,Cleveland Heights,268,–,–,–,19,14.11
BOWLING GREEN HIGH SCHOOL,Ohio,Bowling Green City School District,Wood County,43402,Bowling Green,896,176,39,215,48.2,18.59
BOWLING GREEN MIDDLE SCHOOL,Ohio,Bowling Green City School District,Wood County,43402,Bowling Green,683,162,37,199,40,17.08
BOWLING GREEN PRESCHOOL,Ohio,Bowling Green City School District,Wood County,43402,Bowling Green,113,–,–,–,4,28.25
BOWMAN PRIMARY SCHOOL,Ohio,Lebanon City,Warren County,45036,Lebanon,1300,257,35,292,54,24.07
BOWSHER HIGH SCHOOL,Ohio,Toledo City,Lucas County,43614,Toledo,1300,738,104,842,89,14.61
BOYD E SMITH ELEMENTARY SCHOOL,Ohio,Milford Exempted Village,Clermont County,45150,Milford,526,47,13,60,23,22.87
BRADFORD ELEMENTARY SCHOOL,Ohio,Bradford Exempted Village,Darke County,45308,Bradford,245,–,–,–,14.8,16.55
BRADFORD HIGH SCHOOL,Ohio,Bradford Exempted Village,Darke County,45308,Bradford,228,153,70,223,19.69,11.58
BRANTWOOD ELEMENTARY SCHOOL,Ohio,Mad River Local,Montgomery County,45404,Dayton,427,–,–,–,22,19.41
BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Ohio,Brecksville-Broadview Heights City,Cuyahoga County,44147,Broadview Heights,1357,109,31,140,67.32,20.16
BRECKSVILLE-BROADVIEW HEIGHTS MIDDLE SCHOOL,Ohio,Brecksville-Broadview Heights City,Cuyahoga County,44147,Broadview Heights,900,85,44,129,43.15,20.86
BREMEN ELEMENTARY SCHOOL,Ohio,Fairfield Union Local,Fairfield County,43107,Bremen,360,121,31,152,16.25,22.15
BRENT ELEMENTARY SCHOOL,Ohio,Finneytown Local,Hamilton County,45231,Cincinnati,189,100,16,116,13,14.54
BRIAR MIDDLE SCHOOL,Ohio,Perkins Local,Erie County,44870,Sandusky,445,94,21,115,24.5,18.16
BRIDGE GATE COMMUNITY SCHOOL,OHIO,Bridge Gate Community School,Franklin County,43228,Columbus,238,–,–,–,15.08,15.78
BRIDGEPORT ELEMENTARY SCHOOL,Ohio,Hamilton City,Butler County,45013,Hamilton,731,422,50,472,35,20.89
BRIDGES COMMUNITY ACADEMY DBA BRIDGES PREPARATORY ACADEMY,Ohio,Bridges Community Academy,Seneca County,44883,Tiffin,148,94,21,115,9,16.44
BRIDGETOWN MIDDLE SCHOOL,Ohio,Oak Hills Local,Hamilton County,45211,Cincinnati,663,–,–,–,31,21.39
BRIGGS HIGH SCHOOL,Ohio,Columbus City School District,Franklin County,43223,Columbus,976,–,–,–,51,19.14
BRIGHT ELEMENTARY SCHOOL,Ohio,Bright Local,Highland County,45133,Hillsboro,420,211,44,255,24,17.5
BRIMFIELD ELEMENTARY SCHOOL,Ohio,Field Local,Portage County,44240,Kent,544,169,20,189,28.5,19.09
BRISTOL ELEMENTARY SCHOOL,Ohio,Bristol Local,Trumbull County,44402,Bristolville,281,87,27,114,16,17.56
BRISTOL HIGH SCHOOL,Ohio,Bristol Local,Trumbull County,44402,Bristolville,220,52,24,76,18,12.22
BRITTON ELEMENTARY SCHOOL,Ohio,Hilliard City,Franklin County,43026,Hilliard,448,127,12,139,25,17.92
BROADLEIGH ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43209,Columbus,324,–,–,–,20,16.2
BROADWAY ACADEMY,Ohio,Broadway Academy,Cuyahoga County,44127,Cleveland,179,–,–,–,12,14.92
BROADWAY ELEMENTARY SCHOOL,Ohio,Tipp City Exempted Village,Miami County,45371,Tipp City,391,56,13,69,23.25,16.82
BROOK INTERMEDIATE SCHOOL,Ohio,Rolling Hills Local,Guernsey County,43723,Byesville,345,–,–,–,23,15
BROOK PARK ELEMENTARY SCHOOL,Ohio,Berea City,Cuyahoga County,44142,Brook Park,581,187,18,205,25,23.24
BROOKFIELD ELEMENTARY SCHOOL,Ohio,Brookfield Local,Trumbull County,44403,Brookfield,381,200,37,237,18.4,20.71
BROOKFIELD HIGH SCHOOL,Ohio,Brookfield Local,Trumbull County,44403,Brookfield,263,107,23,130,14.5,18.14
BROOKFIELD MIDDLE SCHOOL,Ohio,Brookfield Local,Trumbull County,44403,Brookfield,327,121,38,159,19,17.21
BROOKLYN HIGH SCHOOL,Ohio,Brooklyn City,Cuyahoga County,44144,Brooklyn,569,259,46,305,27,21.07
BROOKLYN INTERMEDIATE SCHOOL,Ohio,Brooklyn City,Cuyahoga County,44144,Brooklyn,718,–,–,–,10.5,68.38
BROOKPARK MIDDLE SCHOOL,Ohio,South-Western City,Franklin County,43123,Grove City,554,248,33,281,29.75,18.62
BROOKSIDE ELEMENTARY SCHOOL,Ohio,Worthington City,Franklin County,43235,Columbus,336,111,13,124,20.25,16.59
BROOKSIDE HIGH SCHOOL,Ohio,Sheffield-Sheffield Lake City,Lorain County,44054,Sheffield Village,480,194,47,241,28.1,17.08
BROOKSIDE INTERMEDIATE SCHOOL,Ohio,Sheffield-Sheffield Lake City,Lorain County,44054,Sheffield Village,506,188,41,229,24.49,20.66
BROOKSIDE MIDDLE SCHOOL,Ohio,Sheffield-Sheffield Lake City,Lorain County,44054,Sheffield Village,273,96,21,117,16.5,16.55
BROOKVIEW ELEMENTARY SCHOOL,Ohio,Berea City,Cuyahoga County,44142,Brook Park,413,147,26,173,21,19.67
BROOKVILLE ELEMENTARY SCHOOL,Ohio,Brookville Local,Montgomery County,45309,Brookville,473,102,13,115,24.74,19.12
BROOKVILLE HIGH SCHOOL,Ohio,Brookville Local,Montgomery County,45309,Brookville,417,189,42,231,21.08,19.78
BROOKVILLE INTERMEDIATE SCHOOL,Ohio,Brookville Local,Montgomery County,45309,Brookville,587,–,–,–,28.75,20.42
BROOKWOOD ACADEMY,Ohio,Brookwood Academy,Franklin County,43209,Columbus,89,82,4,86,4,22.25
BROOKWOOD ELEMENTARY SCHOOL,Ohio,Hamilton City,Butler County,45013,Hamilton,706,338,73,411,34,20.76
BROWN ELEMENTARY SCHOOL,Ohio,Hilliard City,Franklin County,43026,Hilliard,557,138,19,157,26.5,21.02
BROWN MIDDLE SCHOOL,Ohio,Ravenna City,Portage County,44266,Ravenna,461,–,–,–,34.5,13.36
BRUNSWICK HIGH SCHOOL,Ohio,Brunswick City,Medina County,44212,Brunswick,2308,387,118,505,104,22.19
BRUNSWICK MEMORIAL ELEMENTARY SCHOOL,Ohio,Brunswick City,Medina County,44212,Brunswick,402,76,28,104,23,17.48
BRUNSWICK MIDDLE SCHOOL,Ohio,Brunswick City,Medina County,44212,Brunswick,654,–,–,–,35.5,18.42
BRUSH HIGH SCHOOL,Ohio,South Euclid-Lyndhurst City,Cuyahoga County,44124,Lyndhurst,1136,510,108,618,60.2,18.87
BRYAN ELEMENTARY,Ohio,Bryan City,Williams County,43506,Bryan,921,289,69,358,63.5,14.5
BRYAN MIDDLE SCHOOL/HIGH SCHOOL,Ohio,Bryan City,Williams County,43506,Bryan,1005,274,96,370,60.26,16.68
BRYDEN ELEMENTARY SCHOOL,Ohio,Beachwood City,Cuyahoga County,44122,Beachwood,275,21,5,26,19.2,14.32
BUCHTEL COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44320,Akron,877,–,–,–,61.5,14.26
BUCKEYE  PRIMARY SCHOOL,Ohio,Buckeye Local,Medina County,44256,Medina,611,141,14,155,28,21.82
BUCKEYE CAREER CENTER,Ohio,Buckeye,Tuscarawas County,44663,New Philadelphia,0,–,–,–,0,†
BUCKEYE CAREER CENTER ANNEX-HILAND SATELLITE,OHIO,Buckeye,Holmes County,44610,Berlin,0,–,–,–,0,†
BUCKEYE CENTRAL ELEMENTARY SCHOOL,Ohio,Buckeye Central Local,Crawford County,44854,New Washington,231,–,–,–,16,14.44
BUCKEYE CENTRAL HIGH SCHOOL,Ohio,Buckeye Central Local,Crawford County,44854,New Washington,165,–,–,–,16.1,10.25
BUCKEYE CENTRAL MIDDLE SCHOOL,Ohio,Buckeye Central Local,Crawford County,44854,New Washington,191,–,–,–,11.8,16.19
BUCKEYE ELEMENTARY SCHOOL,Ohio,Riverside Local,Lake County,44077,Painesville,328,85,8,93,15.32,21.41
BUCKEYE ELEMENTARY SCHOOL,Ohio,Salem City,Columbiana County,44460,Salem,447,–,–,–,20,22.35
BUCKEYE HIGH SCHOOL,Ohio,Buckeye Local,Medina County,44256,Medina,699,130,31,161,32.95,21.21
BUCKEYE HILLS CAREER CENTER,Ohio,Gallia-Jackson-Vinton,Gallia County,45674,Rio Grande,0,–,–,–,51,0
BUCKEYE INTERMEDIATE SCHOOL,Ohio,Buckeye Local,Medina County,44256,Medina,623,127,20,147,31.56,19.74
BUCKEYE JUNIOR HIGH SCHOOL,Ohio,Buckeye Local,Medina County,44256,Medina,397,‡,‡,‡,24.6,16.14
BUCKEYE LOCAL HIGH SCHOOL,Ohio,Buckeye Local,Jefferson County,43943,Rayland,420,231,37,268,30,14
BUCKEYE LOCAL JUNIOR HIGH,Ohio,Buckeye Local,Jefferson County,43943,Rayland,240,125,8,133,16,15
BUCKEYE MIDDLE SCHOOL,Ohio,Columbus City School District,Franklin County,43207,Columbus,425,–,–,–,28,15.18
BUCKEYE NORTH ELEMENTARY SCHOOL,Ohio,Buckeye Local,Jefferson County,43913,Brilliant,314,163,25,188,19,16.53
BUCKEYE ON-LINE SCHOOL FOR SUCCESS,Ohio,Buckeye On-Line School for Success,Columbiana County,43920,East Liverpool,658,–,–,–,87.5,7.52
BUCKEYE PREPARATORY ACADEMY,OHIO,Buckeye Preparatory Academy,Franklin County,43205,Columbus,144,–,–,–,9,16
BUCKEYE SOUTH ELEMENTARY SCHOOL,Ohio,Buckeye Local,Jefferson County,43963,Tiltonsville,342,191,16,207,21,16.29
BUCKEYE TRAIL ELEMENTARY,Ohio,East Guernsey Local,Guernsey County,43755,Lore City,512,–,–,–,27.6,18.55
BUCKEYE TRAIL HIGH SCHOOL,Ohio,East Guernsey Local,Guernsey County,43755,Lore City,296,128,20,148,19.28,15.35
BUCKEYE TRAIL MIDDLE SCHOOL,Ohio,East Guernsey Local,Guernsey County,43755,Lore City,235,191,41,232,12.04,19.52
BUCKEYE VALLEY EAST ELEMENTARY SCHOOL,Ohio,Buckeye Valley Local,Delaware County,43003,Ashley,337,92,20,112,18,18.72
BUCKEYE VALLEY LOCAL HIGH SCHOOL,Ohio,Buckeye Valley Local,Delaware County,43015,Delaware,716,90,12,102,41.55,17.23
BUCKEYE VALLEY LOCAL MIDDLE SCHOOL,Ohio,Buckeye Valley Local,Delaware County,43015,Delaware,660,100,20,120,35,18.86
BUCKEYE VALLEY WEST ELEMENTARY SCHOOL,Ohio,Buckeye Valley Local,Delaware County,43061,Ostrander,488,32,10,42,21,23.24
BUCKEYE WEST ELEMENTARY SCHOOL,Ohio,Buckeye Local,Jefferson County,43901,Adena,258,138,13,151,17,15.18
BUCKEYE WOODS ELEMENTARY SCHOOL,Ohio,South-Western City,Franklin County,43123,Grove City,737,84,11,95,33.33,22.11
BUCKSKIN ELEMENTARY SCHOOL,Ohio,Greenfield Exempted Village,Ross County,45681,South Salem,199,99,17,116,14,14.21
BUCYRUS ELEMENTARY SCHOOL,Ohio,Bucyrus City,Crawford County,44820,Bucyrus,619,362,74,436,37.5,16.51
BUCYRUS SECONDARY SCHOOL,Ohio,Bucyrus City,Crawford County,44820,Bucyrus,615,277,98,375,38,16.18
BUDD ELEMENTARY SCHOOL,Ohio,Loudonville-Perrysville Exempted Village,Ashland County,44842,Loudonville,222,77,29,106,15,14.8
BUFFALO CAMPUS,Ohio,Mid-East Career and Technology Centers,Guernsey County,43780,Senecaville,0,–,–,–,20.2,0
BUHRER,Ohio,Cleveland Municipal,Cuyahoga County,44109,Cleveland,398,–,–,–,18,22.11
BULLDOG VIRTUAL ACADEMY,Ohio,Canton City,Stark County,44707,Canton,52,–,–,–,4,13
BUNDY ELEMENTARY SCHOOL,Ohio,Wellston City,Jackson County,45692,Wellston,326,–,–,–,21,15.52
BUNSOLD MIDDLE SCHOOL,Ohio,Marysville Exempted Village,Union County,43040,Marysville,863,143,45,188,47.35,18.23
BURBANK EARLY CHILDHOOD SCHOOL,OHIO,Upper Arlington City,Franklin County,43220,Upper,0,–,–,–,0,†
BURLINGTON ELEMENTARY SCHOOL,Ohio,South Point Local,Lawrence County,45680,South Point,420,–,–,–,21.5,19.53
BURROUGHS ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43204,Columbus,452,–,–,–,27,16.74
BURROUGHS ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43609,Toledo,356,–,–,–,22,16.18
BUTLER ELEMENTARY SCHOOL,Ohio,Clear Fork Valley Local,Richland County,44822,Butler,298,84,33,117,22.16,13.45
BUTLER HIGH SCHOOL,Ohio,Vandalia-Butler City,Montgomery County,45377,Vandalia,884,159,32,191,50.9,17.37
BUTLER MIDDLE SCHOOL,Ohio,Arcanum-Butler Local,Darke County,45304,Arcanum,351,–,–,–,13.87,25.31
BUTLER TECH BIOSCIENCE CENTER,OHIO,Butler Technology & Career Development Schools,Butler County,45069,West Chester,0,–,–,–,0,†
BUTLER TECH LESOURDSVILLE LOCATION,OHIO,Butler Technology & Career Development Schools,Butler County,45011,Fairfield Township,0,–,–,–,0,†
BUTLER TECH NATURAL SCIENCE CENTER,Ohio,Butler Technology & Career Development Schools,Butler County,45050,Monroe,0,–,–,–,0,†
BUTLER TECH SCHOOL OF THE ARTS,Ohio,Butler Technology & Career Development Schools,Butler County,45011,Fairfield Township,0,–,–,–,0,†
BYESVILLE ELEMENTARY SCHOOL,Ohio,Rolling Hills Local,Guernsey County,43723,Byesville,176,–,–,–,10.5,16.76
BYRNEDALE ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43614,Toledo,471,–,–,–,29,16.24
C F HOLLIDAY ELEMENTARY SCHOOL,Ohio,West Carrollton City,Montgomery County,45439,Dayton,426,261,54,315,17,25.06
C H CAMPBELL ELEMENTARY SCHOOL,Ohio,Canfield Local,Mahoning County,44406,Canfield,433,43,6,49,23,18.83
C O HARRISON ELEMENTARY SCHOOL,Ohio,Oak Hills Local,Hamilton County,45233,Cincinnati,895,249,46,295,42,21.31
C R TOWSLEE ELEMENTARY SCHOOL,Ohio,Brunswick City,Medina County,44212,Brunswick,409,108,41,149,21,19.48
CALDWELL ELEMENTARY SCHOOL,Ohio,Caldwell Exempted Village,Noble County,43724,Caldwell,635,242,53,295,37,17.16
CALDWELL HIGH SCHOOL,Ohio,Caldwell Exempted Village,Noble County,43724,Caldwell,193,76,12,88,16,12.06
CALEDONIA ELEMENTARY SCHOOL,Ohio,East Cleveland City School District,Cuyahoga County,44112,Cleveland Heights,220,–,–,–,13,16.92
CAMBRIDGE HIGH SCHOOL,Ohio,Cambridge City,Guernsey County,43725,Cambridge,502,161,30,191,31.38,16
CAMBRIDGE INTERMEDIATE SCHOOL,Ohio,Cambridge City,Guernsey County,43725,Cambridge,446,279,32,311,25,17.84
CAMBRIDGE MIDDLE SCHOOL,Ohio,Cambridge City,Guernsey County,43725,Cambridge,452,248,49,297,26.25,17.22
CAMBRIDGE PRIMARY SCHOOL,Ohio,Cambridge City,Guernsey County,43725,Cambridge,552,–,–,–,22,25.09
CAMPBELL ELEMENTARY SCHOOL,Ohio,Campbell City,Mahoning County,44405,Campbell,694,–,–,–,39,17.79
CAMPUS INTERNATIONAL HIGH SCHOOL,OHIO,Cleveland Municipal,Cuyahoga County,44114,Cleveland,185,–,–,–,16,11.56
CAMPUS INTERNATIONAL SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44114,Cleveland,745,–,–,–,42,17.74
CANAAN MIDDLE SCHOOL,Ohio,Jonathan Alder Local,Madison County,43064,Plain,347,78,16,94,15,23.13
CANAL WINCHESTER HIGH SCHOOL,Ohio,Canal Winchester Local,Franklin County,43110,Canal Winchester,1160,324,36,360,57.16,20.29
CANAL WINCHESTER MIDDLE SCHOOL,Ohio,Canal Winchester Local,Franklin County,43110,Canal Winchester,952,289,41,330,49.84,19.1
CANFIELD HIGH SCHOOL,Ohio,Canfield Local,Mahoning County,44406,Canfield,887,80,17,97,46,19.28
CANFIELD VILLAGE MIDDLE SCHOOL,Ohio,Canfield Local,Mahoning County,44406,Canfield,794,93,18,111,49,16.2
CANTERBURY ELEMENTARY SCHOOL,Ohio,Cleveland Heights-University Heights City,Cuyahoga County,44118,Cleveland Heights,415,–,–,–,26,15.96
CANTON ARTS ACADEMY @ SUMMIT,Ohio,Canton City,Stark County,44703,Canton,295,–,–,–,24,12.29
CANTON COLLEGE PREPARATORY SCHOOL,Ohio,Canton College Preparatory School,Stark County,44702,Canton,265,–,–,–,12,22.08
